model,watt,inference
wide_resnet50_2,default,0.0476600420475006
wide_resnet101_2,default,0.100756496124797
vit_b_16,default,0.0208406213919321
wide_resnet50_2,30W,0.059179823795954385
wide_resnet101_2,30W,0.12472290138403574
vit_b_16,30W,0.028365324404504563
wide_resnet50_2,15W,0.08738585789998372
wide_resnet101_2,15W,0.18668461713525983
vit_b_16,15W,0.05042288647757636
