model,watt,inference,train
resnet18,default,0.0171311855316162,0.0824962168668223
resnet34,default,0.0262953744994269,0.12036359415645
vit_b_32,default,0.0204587282737096,0.155383597433039              
resnet18,30W,0.022294915318489074,0.18920409573917896
resnet34,30W,0.03243721610969967,0.2791436794584831
vit_b_32,30W,0.024347580936219956,0.37805186752724435
resnet18,15W,0.03050726930300395,0.3273578280896212
resnet34,15W,0.04790701495276557,0.5140641642882761
vit_b_32,15W,0.035010839700698855,0.695811438349496
